City,Country,Latitude,Longitude,Max_temp_F,Humidity_Percent,Cloudy_Percent,Wind_Speed_mph,Date
Mataura,New Zealand,-46.19,168.86,50.94,70,39,3.29,12/15/20
Whitehorse,Canada,60.72,-135.05,6.8,84,90,2.24,12/15/20
Hualmay,Peru,-11.1,-77.61,73.31,67,43,10.4,12/15/20
Birjand,Iran,32.87,59.22,30.2,63,0,6.93,12/15/20
Albany,United States,42.6,-73.97,33.01,36,9,1.99,12/15/20
Poum,New Caledonia,-20.23,164.02,78.66,74,0,17.96,12/15/20
Cherepanovo,Russia,54.22,83.38,2.25,94,100,8.52,12/15/20
Alofi,Niue,-19.06,-169.92,77.0,94,90,27.51,12/15/20
Kahului,United States,20.89,-156.47,73.0,73,40,3.36,12/15/20
Barrow,United States,71.29,-156.79,-5.8,76,1,23.04,12/15/20
Shubarshi,Kazakhstan,48.59,57.19,14.79,89,4,10.07,12/15/20
Neuquén,Argentina,-38.95,-68.06,69.8,32,0,9.17,12/15/20
Chokurdakh,Russia,70.63,147.92,-31.16,86,86,2.06,12/15/20
Punta,Philippines,8.99,125.34,74.77,84,100,3.38,12/15/20
Airai,Timor-Leste,-8.93,125.41,61.32,100,100,2.28,12/15/20
Atuona,French Polynesia,-9.8,-139.03,78.84,77,9,22.01,12/15/20
Port,DR Congo,-7.03,29.76,73.49,73,72,3.11,12/15/20
El Puerto de Santa María,Spain,36.59,-6.23,61.0,76,40,1.86,12/15/20
Vila,Portugal,42.03,-8.16,48.99,89,99,13.0,12/15/20
Baker,United States,30.59,-91.17,48.99,81,90,9.17,12/15/20
Cockburn,Australia,-32.08,141.0,78.8,39,30,17.22,12/15/20
Waipawa,New Zealand,-41.41,175.52,59.0,77,0,25.28,12/15/20
Saint-François,France,46.42,3.91,51.01,100,100,2.24,12/15/20
Visnes,Norway,59.36,5.22,48.2,81,75,11.41,12/15/20
Jijiga,Ethiopia,9.35,42.8,58.57,52,0,7.0,12/15/20
Hermanus,South Africa,-34.42,19.23,63.0,72,19,8.81,12/15/20
Codrington,Australia,-38.27,141.97,55.11,93,100,16.35,12/15/20
Hobyo,Somalia,5.35,48.53,77.92,74,19,19.91,12/15/20
Rio,Greece,38.3,21.78,60.8,63,0,12.75,12/15/20
Fare,French Polynesia,-16.7,-151.02,80.55,78,39,17.98,12/15/20
Ambulu,Indonesia,-8.35,113.61,74.98,93,100,3.76,12/15/20
Hobart,Australia,-42.88,147.33,55.4,54,90,14.99,12/15/20
Guerrero,Mexico,17.67,-100.0,78.6,50,50,3.65,12/15/20
Asău,Romania,46.43,26.4,33.01,100,12,1.34,12/15/20
Sao,India,20.51,76.21,73.53,44,79,4.41,12/15/20
Tadine,New Caledonia,-21.55,167.88,75.65,80,32,19.08,12/15/20
Shuangyang,China,43.52,125.67,-9.4,63,0,6.71,12/15/20
Upernavik,Greenland,72.79,-56.15,7.93,84,0,6.15,12/15/20
Port,DR Congo,-7.03,29.76,73.49,73,72,3.11,12/15/20
Cayenne,French Guiana,4.93,-52.33,86.0,74,40,11.41,12/15/20
Rikitea,French Polynesia,-23.12,-134.97,76.62,72,7,7.09,12/15/20
Martapura,Indonesia,-3.42,114.85,75.2,100,75,2.24,12/15/20
Opuwo,Namibia,-18.06,13.84,75.87,29,0,13.49,12/15/20
Chui,Uruguay,-33.7,-53.46,78.26,44,0,12.59,12/15/20
Thinadhoo,Maldives,0.53,72.93,82.54,66,21,7.65,12/15/20
Bambous,Mauritius,-20.26,57.41,77.0,94,75,13.87,12/15/20
Mar,Spain,43.4,-4.01,57.2,47,0,12.75,12/15/20
Solwezi,Zambia,-12.17,26.39,64.35,95,100,5.64,12/15/20
Mount,United Kingdom,53.66,-1.85,45.0,90,40,3.0,12/15/20
Saskylakh,Russia,71.92,114.08,-29.43,83,61,5.55,12/15/20
Ushuaia,Argentina,-54.8,-68.3,44.6,81,75,32.21,12/15/20
Maryborough,Australia,-25.53,152.7,73.0,92,8,1.01,12/15/20
Bengkulu,Indonesia,-3.8,102.27,77.09,86,100,6.78,12/15/20
Sanming,China,26.25,117.62,42.84,80,98,2.84,12/15/20
El Puerto de Santa María,Spain,36.59,-6.23,61.0,76,40,1.86,12/15/20
Comodoro,Brazil,-13.66,-59.79,84.99,57,100,3.56,12/15/20
Clyde,United States,41.3,-82.98,33.01,62,100,6.49,12/15/20
Port,DR Congo,-7.03,29.76,73.49,73,72,3.11,12/15/20
Mil'kovo,Russia,54.72,158.62,20.95,93,100,10.36,12/15/20
Mikuni,Japan,36.22,136.15,37.4,74,75,16.11,12/15/20
Lebu,Chile,-37.62,-73.65,56.3,60,0,23.26,12/15/20
Hasaki,Japan,35.73,140.83,32.0,54,20,5.82,12/15/20
Tasiilaq,Greenland,65.61,-37.64,30.2,54,75,4.7,12/15/20
Northam,United Kingdom,51.03,-4.22,46.0,90,96,4.0,12/15/20
Ribeira,Spain,42.75,-8.44,52.0,87,75,19.46,12/15/20
Fortuna,United States,40.6,-124.16,46.99,90,100,5.01,12/15/20
Kapaa,United States,22.08,-159.32,77.0,78,20,11.41,12/15/20
San,Mali,13.3,-4.9,82.98,17,1,5.3,12/15/20
Belmonte,Brazil,-15.86,-38.88,82.4,61,40,11.41,12/15/20
Cape,Chile,-36.41,-71.9,73.4,31,0,12.75,12/15/20
Paithan,India,19.48,75.38,76.01,39,87,8.93,12/15/20
Hong Kong,Hong Kong,22.29,114.16,59.0,74,99,1.99,12/15/20
Burns,United States,43.59,-119.05,26.6,92,90,4.5,12/15/20
Kamyshin,Russia,50.1,45.42,23.43,91,100,8.99,12/15/20
Saint-Philippe,Reunion,-21.36,55.77,75.2,94,84,13.51,12/15/20
Geraldton,Australia,-28.77,114.6,68.0,77,0,16.11,12/15/20
Elkhotovo,Russia,43.34,44.2,32.0,100,90,2.24,12/15/20
Tessalit,Mali,20.2,1.01,73.04,19,5,6.42,12/15/20
Yar-Sale,Russia,66.83,70.83,-5.01,88,100,16.91,12/15/20
Carnarvon,Australia,-24.87,113.63,73.4,78,0,21.92,12/15/20
Vaini,Tonga,-21.2,-175.2,75.2,94,75,17.22,12/15/20
Auki,Solomon Islands,-8.77,160.7,79.84,81,97,4.0,12/15/20
Sola,Vanuatu,-13.88,167.55,80.69,80,100,6.13,12/15/20
